"Longitude","Latitude","Timeslice","Biome_pollen","Biome_ensemble_simulation"
-18.75,64.9419479370117,0,"8","8"
7.5,61.231575012207,0,"3","4"
11.25,61.231575012207,0,"4","4"
15,61.231575012207,0,"4","4"
18.75,61.231575012207,0,"4","3"
22.5,61.231575012207,0,"4","4"
26.25,61.231575012207,0,"3","4"
30,61.231575012207,0,"3","4"
33.75,61.231575012207,0,"4","4"
45,61.231575012207,0,"4","4"
56.25,61.231575012207,0,"4","4"
60,61.231575012207,0,"4","4"
67.5,61.231575012207,0,"4","8"
71.25,61.231575012207,0,"4","3"
75,61.231575012207,0,"4","3"
78.75,61.231575012207,0,"3","4"
112.5,61.231575012207,0,"4","4"
116.25,61.231575012207,0,"4","8"
131.25,61.231575012207,0,"4","8"
146.25,61.231575012207,0,"4","8"
150,61.231575012207,0,"8","8"
153.75,61.231575012207,0,"4","8"
-161.25,61.231575012207,0,"4","8"
-157.5,61.231575012207,0,"4","4"
-153.75,61.231575012207,0,"4","8"
-150,61.231575012207,0,"4","4"
-146.25,61.231575012207,0,"4","8"
-142.5,61.231575012207,0,"4","8"
-138.75,61.231575012207,0,"4","8"
-135,61.231575012207,0,"4","8"
-127.5,61.231575012207,0,"4","8"
-123.75,61.231575012207,0,"4","4"
-120,61.231575012207,0,"4","4"
-101.25,61.231575012207,0,"4","4"
-97.5,61.231575012207,0,"4","3"
-71.25,61.231575012207,0,"8","6"
-67.5,61.231575012207,0,"8","4"
7.5,57.5209922790527,0,"3","4"
11.25,57.5209922790527,0,"3","6"
15,57.5209922790527,0,"3","3"
22.5,57.5209922790527,0,"3","4"
26.25,57.5209922790527,0,"3","3"
30,57.5209922790527,0,"4","3"
33.75,57.5209922790527,0,"3","3"
37.5,57.5209922790527,0,"3","4"
41.25,57.5209922790527,0,"3","4"
56.25,57.5209922790527,0,"4","4"
60,57.5209922790527,0,"4","4"
67.5,57.5209922790527,0,"4","4"
82.5,57.5209922790527,0,"4","4"
86.25,57.5209922790527,0,"4","4"
90,57.5209922790527,0,"4","3"
108.75,57.5209922790527,0,"4","3"
131.25,57.5209922790527,0,"4","8"
161.25,57.5209922790527,0,"8","6"
-168.75,57.5209922790527,0,"8","8"
-157.5,57.5209922790527,0,"4","6"
-135,57.5209922790527,0,"4","4"
-131.25,57.5209922790527,0,"4","6"
-123.75,57.5209922790527,0,"4","8"
-120,57.5209922790527,0,"4","4"
-112.5,57.5209922790527,0,"4","3"
-101.25,57.5209922790527,0,"4","3"
-93.75,57.5209922790527,0,"4","4"
-75,57.5209922790527,0,"4","4"
-71.25,57.5209922790527,0,"4","4"
-63.75,57.5209922790527,0,"4","4"
-7.5,57.5209922790527,0,"3","3"
-3.75,57.5209922790527,0,"3","3"
0,53.8102722167969,0,"3","3"
3.75,53.8102722167969,0,"8","3"
7.5,53.8102722167969,0,"3","3"
11.25,53.8102722167969,0,"3","3"
15,53.8102722167969,0,"3","3"
18.75,53.8102722167969,0,"3","3"
22.5,53.8102722167969,0,"3","3"
