"Longitude","Latitude","Timeslice","Ice_ensemble"
11.25,53.8102722167969,21,"Ice-sheet"
15,53.8102722167969,21,"Ice-sheet"
18.75,53.8102722167969,21,"Ice-sheet"
22.5,53.8102722167969,21,"Ice-sheet"
26.25,53.8102722167969,21,"Ice-sheet"
-131.25,53.8102722167969,21,"Ice-sheet"
-127.5,53.8102722167969,21,"Ice-sheet"
-123.75,53.8102722167969,21,"Ice-sheet"
-120,53.8102722167969,21,"Ice-sheet"
-116.25,53.8102722167969,21,"Ice-sheet"
-112.5,53.8102722167969,21,"Ice-sheet"
-108.75,53.8102722167969,21,"Ice-sheet"
-105,53.8102722167969,21,"Ice-sheet"
-101.25,53.8102722167969,21,"Ice-sheet"
-97.5,53.8102722167969,21,"Ice-sheet"
-93.75,53.8102722167969,21,"Ice-sheet"
-90,53.8102722167969,21,"Ice-sheet"
-86.25,53.8102722167969,21,"Ice-sheet"
-82.5,53.8102722167969,21,"Ice-sheet"
-78.75,53.8102722167969,21,"Ice-sheet"
-75,53.8102722167969,21,"Ice-sheet"
-71.25,53.8102722167969,21,"Ice-sheet"
-67.5,53.8102722167969,21,"Ice-sheet"
-63.75,53.8102722167969,21,"Ice-sheet"
-60,53.8102722167969,21,"Ice-sheet"
-56.25,53.8102722167969,21,"Ice-sheet"
-7.5,53.8102722167969,21,"Ice-sheet"
-3.75,53.8102722167969,21,"Ice-sheet"
-123.75,50.0994529724121,21,"Ice-sheet"
-120,50.0994529724121,21,"Ice-sheet"
-116.25,50.0994529724121,21,"Ice-sheet"
-112.5,50.0994529724121,21,"Ice-sheet"
-108.75,50.0994529724121,21,"Ice-sheet"
-105,50.0994529724121,21,"Ice-sheet"
-101.25,50.0994529724121,21,"Ice-sheet"
-97.5,50.0994529724121,21,"Ice-sheet"
-93.75,50.0994529724121,21,"Ice-sheet"
-90,50.0994529724121,21,"Ice-sheet"
-86.25,50.0994529724121,21,"Ice-sheet"
-82.5,50.0994529724121,21,"Ice-sheet"
-78.75,50.0994529724121,21,"Ice-sheet"
-75,50.0994529724121,21,"Ice-sheet"
-71.25,50.0994529724121,21,"Ice-sheet"
-67.5,50.0994529724121,21,"Ice-sheet"
-63.75,50.0994529724121,21,"Ice-sheet"
-60,50.0994529724121,21,"Ice-sheet"
-56.25,50.0994529724121,21,"Ice-sheet"
-52.5,50.0994529724121,21,"Ice-sheet"
-97.5,46.388557434082,21,"Ice-sheet"
-93.75,46.388557434082,21,"Ice-sheet"
-90,46.388557434082,21,"Ice-sheet"
-86.25,46.388557434082,21,"Ice-sheet"
