"Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Pollen.based.Reconstruction","MPI.ESM_GLAC1D","MPI.ESM_ICE6G","CLIMBER.X_GLAC1D","CLIMBER.X_ICE6G","TRACE.21K.I_ICE5G","TRACE.21K.II_ICE5G"
803,"Ennadai Lake",61.16667,-100.917,168,"North America",4,4,4,4,4,8,8
805,"Lake Erie",41.92,-82.76,168,"North America",3,3,3,3,3,6,7
808,"East Sooke Fen",48.35194,-123.682,155,"North America",4,4,4,3,3,8,4
811,"Etivlik Lake",68.12,-156.07,631,"North America",4,8,8,4,4,8,8
813,"East Twin Lake",41.19616,-81.3348,321,"North America",3,3,3,3,3,6,7
816,"Exchequer Meadow",37,-119.833,2219,"North America",3,6,6,6,6,6,6
820,"Lac Faribault",58.86694,-71.7169,250,"North America",4,4,4,4,3,8,8
821,"Tourbière de Farnham",45.28278,-72.9828,53,"North America",3,3,3,3,3,4,4
823,"Fawn Lake (CA:Ontario)",45.41,-79.39,333,"North America",3,3,3,3,3,4,4
829,"Fiddler's Pond",56.25,-121.42,630,"North America",4,4,4,4,4,8,8
834,"Beaverhouse Lake",54.74222,-101.682,305,"North America",4,3,3,3,3,6,4
835,"Floating Island Lake",44.55,-107.467,2609,"North America",4,3,3,7,7,4,4
841,"Forest Pond 1",43.47121,-109.939,2797,"North America",4,6,6,7,7,6,6
843,"Forest Pond 2",43.43889,-109.95,2766,"North America",4,6,6,7,7,6,6
847,"Frains Lake",42.33,-83.61,271,"North America",3,3,3,3,3,6,7
849,"Hayes Lake",49.58596,-93.7445,391,"North America",3,3,3,3,3,6,6
850,"French Lake",44.94577,-94.4207,327,"North America",3,3,3,3,3,4,4
852,"Fresh Pond",41.16,-71.58,28,"North America",3,3,3,2,2,4,6
853,"Frying Pan Lake",38.61,-111.67,2720,"North America",3,3,6,6,6,6,6
856,"Furnival Lake",48.22,-84.93,440,"North America",3,3,3,3,3,4,4
857,"Saint-Gabriel",46.27583,-73.4758,250,"North America",3,3,3,3,3,4,4
860,"Gass Lake",44.05,-87.73,211,"North America",3,3,3,3,3,7,7
866,"Gek Lake",63.38333,147.65,969,"Asia",8,8,8,4,4,8,8
871,"Lac à St-Germain",45.94583,-74.3708,473,"North America",3,3,3,3,3,4,4
872,"Serra Campos Gerais",-24.6667,-50.2167,1200,"South America",1,2,2,6,6,2,2
873,"Giles",41.37709,-75.0932,732,"North America",3,3,3,3,3,4,7
876,"Gladkoye Bog",55,83.33333,80,"Asia",3,4,3,3,3,6,6
878,"Jones Lake [Glenboro site]",49.448,-99.2897,409,"North America",3,3,3,3,3,6,6
966,"Gold Lake Bog",43.65,-122.042,1465,"North America",4,3,3,6,6,4,6
969,"Goshen Springs",31.72111,-86.1342,105,"North America",3,6,6,2,2,2,2
971,"Gould Pond",44.99,-69.32,89,"North America",3,3,3,2,2,4,6
973,"Graham Lake",45.19,-77.36,381,"North America",3,3,3,3,3,4,4
976,"Lac Gras",52.25,-67.0667,530,"North America",4,4,4,3,3,8,6
977,"Grasvatn",63.70291,8.689085,46,"Europe",3,3,4,4,4,8,4
978,"Gravel Ridge",55.03333,-62.6333,565,"North America",4,4,4,4,3,8,6
986,"Grenadier Pond",43.64,-79.47,76,"North America",3,3,3,3,3,4,7
987,"Grey Islands",50.76671,-55.5315,104,"North America",4,4,4,3,3,8,4
997,"Gurskii Peat [Site 4381]",50.06667,137.0833,15,"Asia",3,4,4,3,3,6,4
999,"Hack Pond",37.98472,-78.9972,469,"North America",3,3,3,2,2,7,7
1001,"Hail Lake",60.03333,-129.017,690,"North America",4,8,8,4,6,8,8
1002,"Hams Lake",43.24,-80.41,301,"North America",3,3,3,3,3,4,7
1003,"Hanging Lake",68.38333,-138.383,500,"North America",4,6,6,4,8,8,8
1006,"Harding Lake",64.44444,-146.908,213,"North America",4,8,8,4,4,8,8
1008,"Harrie Lake",52.93333,-66.95,530,"North America",4,4,4,3,3,8,6
1013,"Hay Lake",34,-109.43,2780,"North America",3,6,6,6,6,6,6
1024,"Headwaters Lake",67.93333,-155.05,820,"North America",4,8,8,4,4,8,8
1028,"Hebron Lake",58.2,-63.0333,170,"North America",4,4,4,4,3,8,8
1030,"Hedrick Pond",43.75,-110.6,2073,"North America",4,6,6,6,6,6,6
1033,"Tourbière de Lanoraie HENRI",45.98889,-73.3,18,"North America",4,3,3,3,3,4,4
1104,"Hidden Lake",63.94,-144.658,343,"North America",4,8,8,4,4,8,8
1105,"High Lake",44.51667,-76.6,192,"North America",3,3,3,3,3,4,7
1107,"Honeymoon Pond",64.63333,-138.4,1160,"North America",4,8,8,4,8,8,8
1111,"Hostage Lake",46.55,-94.1333,368,"North America",3,3,3,3,3,4,4
1114,"Howes Prairie Marsh",41.65,-87.0722,185,"North America",3,3,3,3,3,7,7
1133,"Hudson Lake",41.72,-86.55,239,"North America",3,3,3,3,3,7,7
1135,"Humber Pond 3",43.64,-79.48,74,"North America",3,3,3,3,3,4,7
1136,"Humber Pond 5",43.64,-79.49,74,"North America",3,3,3,3,3,4,7
1137,"Humber Pond 7",43.65,-79.5,74,"North America",3,3,3,3,3,4,7
1138,"Hustler Lake",48.22982,-92.1601,401,"North America",3,3,3,3,3,4,4
1139,"Hynes Brook Salt Marsh",48.61861,-58.965,0,"North America",4,3,3,3,3,8,4
1142,"Iglutalik Lake",66.135,-66.0833,90,"North America",4,4,6,4,4,8,8
1149,"Inglesby Lake",44.48333,-77.05,167,"North America",3,3,3,3,3,4,7
1152,"Keystone Iron Fen",38.865,-107.033,2920,"North America",3,6,6,7,7,6,6
1153,"Irvin Lake",47.13556,-93.6436,478,"North America",3,3,3,3,3,4,4
1154,"Morro de Itapeva",-22.7833,-45.5333,1850,"South America",1,1,1,1,5,2,2
1155,"Ivanovskoye Peat Bog",56.81667,38.76667,141,"Europe",3,4,4,3,3,4,4
1157,"Jack Lake",47.31667,-81.7667,430,"North America",4,3,3,3,3,4,4
1158,"Jack London Lake",62.07229,149.5398,820,"Asia",4,8,8,4,4,8,8
1160,"Jackson Pond",37.43255,-85.7246,260,"North America",3,3,3,2,2,7,7
1162,"Jacob Lake",34.33333,-110.833,2285,"North America",3,6,6,6,6,6,6
1171,"James Bay",50.22,-80.2,267,"North America",4,3,3,3,3,4,4
1254,"Saint-Jean Ile d'Orléans",46.93278,-70.9328,68,"North America",3,3,3,3,3,4,4
1390,"Joe Lake",66.76667,-157.217,183,"North America",4,6,8,4,4,8,8
