"Region","Timeslice","EMD","Region_code"
"Global","9.5",0.184275906533003,"Global"
"Global","9.5",0.268239438533783,"Global"
"Global","9.5",0.342175856232643,"Global"
"Global","9.5",0.216813188046217,"Global"
"Global","9.5",0.183153167366982,"Global"
"Global","9.5",0.221710041165352,"Global"
"Global","9.5",0.309525489807129,"Global"
"Global","9.5",0.276509672403336,"Global"
"Global","9.5",0.36324842274189,"Global"
"Global","9.5",0.382483005523682,"Global"
"Global","9.5",0.167595505714417,"Global"
"Global","9.5",0.230560101568699,"Global"
"Global","9.5",0.311936318874359,"Global"
"Global","9.5",0.336677134037018,"Global"
"Global","9.5",0.193023189902306,"Global"
"Global","10",0.196180328726768,"Global"
"Global","10",0.265665113925934,"Global"
"Global","10",0.35118442773819,"Global"
"Global","10",0.21897965669632,"Global"
"Global","10",0.183382514864206,"Global"
"Global","10",0.241784300655127,"Global"
"Global","10",0.313888728618622,"Global"
"Global","10",0.284045159816742,"Global"
"Global","10",0.361307270824909,"Global"
"Global","10",0.356151551008224,"Global"
"Global","10",0.195022225379944,"Global"
"Global","10",0.249361589550972,"Global"
"Global","10",0.288547202944755,"Global"
"Global","10",0.323974393308163,"Global"
"Global","10",0.190806493163109,"Global"
"Global","10.5",0.191212251782418,"Global"
"Global","10.5",0.257973700761795,"Global"
"Global","10.5",0.319991573691368,"Global"
"Global","10.5",0.217883933335543,"Global"
"Global","10.5",0.175681874155998,"Global"
"Global","10.5",0.224775429815053,"Global"
"Global","10.5",0.318488121032715,"Global"
"Global","10.5",0.278830438852311,"Global"
"Global","10.5",0.344367310404778,"Global"
"Global","10.5",0.352554954588413,"Global"
"Global","10.5",0.16821876168251,"Global"
"Global","10.5",0.231633767485619,"Global"
"Global","10.5",0.299347944557667,"Global"
"Global","10.5",0.331878423690796,"Global"
"Global","10.5",0.193302892148495,"Global"
"Global","11",0.195113122463226,"Global"
"Global","11",0.251690834760666,"Global"
"Global","11",0.302149891853333,"Global"
"Global","11",0.228963971138,"Global"
"Global","11",0.184173509478569,"Global"
"Global","11",0.236378997564316,"Global"
"Global","11",0.30946746468544,"Global"
"Global","11",0.30300173163414,"Global"
"Global","11",0.361362546682358,"Global"
"Global","11",0.415044397115707,"Global"
"Global","11",0.190597668290138,"Global"
"Global","11",0.221087127923966,"Global"
"Global","11",0.299455642700195,"Global"
"Global","11",0.317396029829978,"Global"
"Global","11",0.219197683036327,"Global"
"Global","11.5",0.192206963896752,"Global"
"Global","11.5",0.275863483548164,"Global"
"Global","11.5",0.385940678417683,"Global"
"Global","11.5",0.244325812906027,"Global"
"Global","11.5",0.201172381639481,"Global"
"Global","11.5",0.225751992315054,"Global"
"Global","11.5",0.301600307226181,"Global"
"Global","11.5",0.302461981773376,"Global"
"Global","11.5",0.376498743891717,"Global"
"Global","11.5",0.411390841007233,"Global"
"Global","11.5",0.179293803870678,"Global"
"Global","11.5",0.229447662830353,"Global"
"Global","11.5",0.326844915747643,"Global"
"Global","11.5",0.339988440275192,"Global"
"Global","11.5",0.197623014450074,"Global"
"Global","12",0.187572605907917,"Global"
"Global","12",0.281435161828995,"Global"
"Global","12",0.326199889183044,"Global"
"Global","12",0.245390057563782,"Global"
"Global","12",0.197309963405133,"Global"
"Global","12",0.220655977725983,"Global"
"Global","12",0.308037787675858,"Global"
"Global","12",0.312602505087852,"Global"
"Global","12",0.322597771883011,"Global"
"Global","12",0.363931626081467,"Global"
"Global","12",0.190967075526714,"Global"
"Global","12",0.214716281741857,"Global"
