"Longitude","Latitude","PNV_MPI_ESM_V3_GLAC1D"
37.5,83.4789352416992,NA
41.25,83.4789352416992,NA
45,83.4789352416992,NA
48.75,83.4789352416992,NA
52.5,83.4789352416992,NA
56.25,83.4789352416992,NA
60,83.4789352416992,NA
63.75,83.4789352416992,NA
67.5,83.4789352416992,NA
71.25,83.4789352416992,NA
75,83.4789352416992,NA
78.75,83.4789352416992,NA
82.5,83.4789352416992,NA
86.25,83.4789352416992,NA
90,83.4789352416992,NA
93.75,83.4789352416992,NA
97.5,83.4789352416992,NA
101.25,83.4789352416992,NA
105,83.4789352416992,NA
108.75,83.4789352416992,NA
112.5,83.4789352416992,NA
116.25,83.4789352416992,NA
120,83.4789352416992,NA
123.75,83.4789352416992,NA
127.5,83.4789352416992,NA
131.25,83.4789352416992,NA
135,83.4789352416992,NA
138.75,83.4789352416992,NA
142.5,83.4789352416992,NA
146.25,83.4789352416992,NA
150,83.4789352416992,NA
153.75,83.4789352416992,NA
157.5,83.4789352416992,NA
161.25,83.4789352416992,NA
165,83.4789352416992,NA
168.75,83.4789352416992,NA
172.5,83.4789352416992,NA
176.25,83.4789352416992,NA
180,83.4789352416992,NA
-176.25,83.4789352416992,NA
-172.5,83.4789352416992,NA
-168.75,83.4789352416992,NA
-165,83.4789352416992,NA
-161.25,83.4789352416992,NA
-157.5,83.4789352416992,NA
-153.75,83.4789352416992,NA
-150,83.4789352416992,NA
-146.25,83.4789352416992,NA
-142.5,83.4789352416992,NA
-138.75,83.4789352416992,NA
-135,83.4789352416992,NA
-131.25,83.4789352416992,NA
-127.5,83.4789352416992,NA
-123.75,83.4789352416992,NA
-120,83.4789352416992,NA
-116.25,83.4789352416992,NA
-112.5,83.4789352416992,NA
-108.75,83.4789352416992,NA
-105,83.4789352416992,NA
-101.25,83.4789352416992,NA
-97.5,83.4789352416992,NA
-93.75,83.4789352416992,NA
-90,83.4789352416992,NA
-86.25,83.4789352416992,NA
-82.5,83.4789352416992,NA
-78.75,83.4789352416992,NA
-75,83.4789352416992,8
-71.25,83.4789352416992,7
-67.5,83.4789352416992,NA
-63.75,83.4789352416992,NA
-60,83.4789352416992,NA
-56.25,83.4789352416992,NA
-52.5,83.4789352416992,NA
-48.75,83.4789352416992,NA
-45,83.4789352416992,NA
-41.25,83.4789352416992,NA
-37.5,83.4789352416992,NA
-33.75,83.4789352416992,NA
-30,83.4789352416992,NA
-26.25,83.4789352416992,NA
-22.5,83.4789352416992,NA
-18.75,83.4789352416992,NA
-15,83.4789352416992,NA
-11.25,83.4789352416992,NA
-7.5,83.4789352416992,NA
-3.75,83.4789352416992,NA
0,79.7770462036133,NA
3.75,79.7770462036133,NA
7.5,79.7770462036133,NA
11.25,79.7770462036133,NA
15,79.7770462036133,NA
18.75,79.7770462036133,NA
22.5,79.7770462036133,NA
26.25,79.7770462036133,NA
30,79.7770462036133,NA
33.75,79.7770462036133,NA
37.5,79.7770462036133,NA
41.25,79.7770462036133,NA
45,79.7770462036133,NA
48.75,79.7770462036133,NA
52.5,79.7770462036133,NA
56.25,79.7770462036133,NA
60,79.7770462036133,NA
63.75,79.7770462036133,NA
67.5,79.7770462036133,NA
71.25,79.7770462036133,NA
75,79.7770462036133,NA
78.75,79.7770462036133,NA
82.5,79.7770462036133,NA
86.25,79.7770462036133,NA
90,79.7770462036133,NA
93.75,79.7770462036133,8
97.5,79.7770462036133,NA
101.25,79.7770462036133,8
105,79.7770462036133,8
108.75,79.7770462036133,NA
112.5,79.7770462036133,NA
116.25,79.7770462036133,NA
120,79.7770462036133,NA
123.75,79.7770462036133,NA
127.5,79.7770462036133,NA
131.25,79.7770462036133,NA
135,79.7770462036133,NA
138.75,79.7770462036133,NA
142.5,79.7770462036133,NA
146.25,79.7770462036133,NA
150,79.7770462036133,NA
153.75,79.7770462036133,NA
157.5,79.7770462036133,NA
161.25,79.7770462036133,NA
165,79.7770462036133,NA
168.75,79.7770462036133,NA
172.5,79.7770462036133,NA
176.25,79.7770462036133,NA
180,79.7770462036133,NA
-176.25,79.7770462036133,NA
-172.5,79.7770462036133,NA
-168.75,79.7770462036133,NA
-165,79.7770462036133,NA
-161.25,79.7770462036133,NA
-157.5,79.7770462036133,NA
-153.75,79.7770462036133,NA
-150,79.7770462036133,NA
-146.25,79.7770462036133,NA
-142.5,79.7770462036133,NA
-138.75,79.7770462036133,NA
-135,79.7770462036133,NA
-131.25,79.7770462036133,NA
-127.5,79.7770462036133,NA
-123.75,79.7770462036133,NA
-120,79.7770462036133,NA
-116.25,79.7770462036133,NA
-112.5,79.7770462036133,8
-108.75,79.7770462036133,8
-105,79.7770462036133,8
-101.25,79.7770462036133,8
-97.5,79.7770462036133,8
-93.75,79.7770462036133,8
-90,79.7770462036133,8
-86.25,79.7770462036133,8
-82.5,79.7770462036133,8
-78.75,79.7770462036133,NA
